"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"3138","Normal/Others","WS/MP838/2024-2025/94043-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Rajola Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3139","Normal/Others","WS/MP838/2024-2025/94158-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Sastapura Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3140","Normal/Others","WS/MP838/2024-2025/94170-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Kambalewadi Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3141","Normal/Others","WS/MP838/2024-2025/94178-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Alagooda Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3142","Normal/Others","WS/MP838/2024-2025/94180-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Yelladagundi Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3143","Normal/Others","WS/MP838/2024-2025/94182-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Ladawanti Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3144","Normal/Others","WS/MP838/2024-2025/94185-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Siragura Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3145","Normal/Others","WS/MP838/2024-2025/94186-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Ekamba Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3146","Normal/Others","WS/MP838/2024-2025/94190-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Ilyala Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3147","Normal/Others","WS/MP838/2024-2025/94192-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Hipparaga Ghat Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3148","Normal/Others","WS/MP838/2024-2025/94202-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Gundura Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3149","Normal/Others","WS/MP838/2024-2025/94208-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Hanumanthawadi Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3150","Normal/Others","WS/MP838/2024-2025/94211-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Bagadoori Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3151","Normal/Others","WS/MP838/2024-2025/94213-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (10 No's) to Hirenagaon Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","36000","Physical Inspection"
"3152","Normal/Others","WS/MP838/2024-2025/94218-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Kherda B Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3153","Normal/Others","WS/MP838/2024-2025/94237-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Dhannura R Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3154","Normal/Others","WS/MP838/2024-2025/94240-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Chicknagaon Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3155","Normal/Others","WS/MP838/2024-2025/94241-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Yalavanthagi Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3156","Normal/Others","WS/MP838/2024-2025/94242-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Ekalora Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3157","Normal/Others","WS/MP838/2024-2025/94243-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Mudabi Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3158","Trust and Society","WS/MP145/2023-2024/94244-Construction of rooms and halls in school and colleges","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","CONSTRUCTION OF BUILDING/LIBRARY IN DR. AMBEDKAR HOSTEL, RADHAKISHANPURA (SIKAR) RUN BY ZILA SIKAR SC AND ST KALYAN SMITI SIKAR","02-Feb-2024","26-Feb-2024","416895","Physical Inspection"
"3159","Trust and Society","WS/MP145/2023-2024/94245-Construction of rooms and halls in school and colleges","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Ghanshyam Tiwari (2022-28) (2022-2028)","Elected MP","CONSTRUCTION OF BUILDING/LIBRARY IN DR. AMBEDKAR HOSTEL, RADHAKISHANPURA (SIKAR) RUN BY ZILA SIKAR SC AND ST KALYAN SMITI SIKAR","02-Feb-2024","26-Feb-2024","650077","Physical Inspection"
"3160","Normal/Others","WS/MP838/2024-2025/94247-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Jajanamugali Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3161","Normal/Others","WS/MP838/2024-2025/94248-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Umapura Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3162","Normal/Others","WS/MP838/2024-2025/94249-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Ghotala Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3163","Normal/Others","WS/MP838/2024-2025/94251-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Devanala Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3164","Normal/Others","WS/MP838/2024-2025/94252-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Betabalakunda Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3165","Normal/Others","WS/MP838/2024-2025/94254-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Ramatheertha K  Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3166","Normal/Others","WS/MP838/2024-2025/94255-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Morakhandi Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3167","Normal/Others","WS/MP838/2024-2025/94256-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Paratapura Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3168","Normal/Others","WS/MP838/2024-2025/94258-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Mirakhal Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3169","Normal/Others","WS/MP838/2024-2025/94259-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Mirakhal Thanda Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3170","Normal/Others","WS/MP838/2024-2025/94262-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Belura Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3171","Normal/Others","WS/MP838/2024-2025/94264-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (4 No's) to Gadigowdagaon Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","14400","Physical Inspection"
"3172","Normal/Others","WS/MP838/2024-2025/94266-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Chalakapura Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3173","Normal/Others","WS/MP838/2024-2025/94267-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Maasi Mooda Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3174","Normal/Others","WS/MP838/2024-2025/94269-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Baradapura Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3175","Normal/Others","WS/MP838/2024-2025/94270-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Yenakura Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3176","Normal/Others","WS/MP838/2024-2025/94271-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Haranala Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3177","Normal/Others","WS/MP838/2024-2025/94273-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Chandapura Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3178","Normal/Others","WS/MP838/2024-2025/94275-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Siddeshwara Wadi Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3179","Normal/Others","WS/MP838/2024-2025/94277-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Siddeshwara Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3180","Normal/Others","WS/MP838/2024-2025/94281-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Maroora Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3181","Normal/Others","WS/MP838/2024-2025/94289-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Godhi Hipparaga Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3182","Normal/Others","WS/MP838/2024-2025/94290-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Nelagi Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3183","Normal/Others","WS/MP838/2024-2025/94293-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Hunaji K Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3184","Normal/Others","WS/MP838/2024-2025/94295-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Halahalli Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3185","Normal/Others","WS/MP838/2024-2025/94298-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Byalahalli Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3186","Normal/Others","WS/MP838/2024-2025/94299-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Thungaon K Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3187","Normal/Others","WS/MP838/2024-2025/94301-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Neelamanahalli Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3188","Normal/Others","WS/MP838/2024-2025/94314-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Ganesharapura wadi Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3189","Normal/Others","WS/MP838/2024-2025/94316-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Halahipparaga Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3190","Normal/Others","WS/MP838/2024-2025/94318-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Malachapura Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3191","Normal/Others","WS/MP838/2024-2025/94319-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Dhanura H Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3192","Normal/Others","WS/MP838/2024-2025/94324-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Islampura Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3193","Normal/Others","WS/MP838/2024-2025/94326-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Janawada Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3194","Normal/Others","WS/MP838/2024-2025/94327-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Aliambara Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3195","Normal/Others","WS/MP838/2024-2025/94328-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Rajanala Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3196","Normal/Others","WS/MP838/2024-2025/94329-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Vilasapura Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3197","Normal/Others","WS/MP838/2024-2025/94330-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (4 No's) to Sanganalli Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","14400","Physical Inspection"
"3198","Normal/Others","WS/MP838/2024-2025/94334-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Yaranalli Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3199","Normal/Others","WS/MP838/2024-2025/94335-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Bampalli Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3200","Normal/Others","WS/MP838/2024-2025/94342-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Hippalagaon Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3201","Normal/Others","WS/MP838/2024-2025/94347-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Srimandala Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3202","Normal/Others","WS/MP838/2024-2025/94363-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Khanapura Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3203","Normal/Others","WS/MP838/2024-2025/94364-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Chamboola Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3204","Normal/Others","WS/MP838/2024-2025/94367-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (8 No's) to Navalasapura Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","28800","Physical Inspection"
"3205","Normal/Others","WS/MP838/2024-2025/94368-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Phathepura Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3206","Normal/Others","WS/MP838/2024-2025/94374-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (6 No's) to Daddapura Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","21600","Physical Inspection"
"3207","Normal/Others","WS/MP838/2024-2025/94376-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (10 No's) to Chimakoda Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","36000","Physical Inspection"
"3208","Normal/Others","WS/MP838/2024-2025/94378-Setting up of farmers’ training and assistance centers","Karnataka","BIDAR(DEPUTY COMMISSIONER BIDAR_IDA)","Dr. Dharmasthala Veerendra Heggade (2022-28) (2022-2028)","Nominated MP","Providing Stainless Steel Cans (10 No's) to Marakhala Milk Producers Cooperative Society","02-Feb-2024","16-Oct-2024","36000","Physical Inspection"
