"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"2161","Normal/Others","WS/MP18377/2024-2025/152291-Street lights","Uttar Pradesh","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","VIKAS KHAND MEERGANJ KI GRAM PANCHAYAT ME 11 STREET LIGHTS","CHHATRA PAL SINGH GANGWAR","BAREILLY","N/A","13-Sep-2025","683234"
"2162","Normal/Others","WS/MP18377/2024-2025/152287-Street lights","Uttar Pradesh","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","VIKAS KHAND SHERGARH KI GRAM PANCHAYAT ME 10 STREET LIGHTS","CHHATRA PAL SINGH GANGWAR","BAREILLY","N/A","13-Sep-2025","683234"
"2163","Normal/Others","WS/MP18377/2024-2025/152288-Street lights","Uttar Pradesh","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","VIKAS KHAND KYARA KE GRAM PANCHAYAT ME 4 STREET LIGHT","CHHATRA PAL SINGH GANGWAR","BAREILLY","N/A","13-Sep-2025","683234"
"2164","Normal/Others","WS/MP18377/2024-2025/152286-Street lights","Uttar Pradesh","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","VIKAS KHAND SHERGARH KI GRAM PANCHAYAT ME 10 STREET LIGHTS","CHHATRA PAL SINGH GANGWAR","BAREILLY","N/A","13-Sep-2025","854043"
"2165","Normal/Others","WS/MP18377/2024-2025/152284-Street lights","Uttar Pradesh","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","VIKAS KHAND SHERGARH KI GRAM PANCHAYAT ME 10 STREET LIGHT","CHHATRA PAL SINGH GANGWAR","BAREILLY","N/A","13-Sep-2025","854043"
"2166","Normal/Others","WS/MP18377/2024-2025/152285-Street lights","Uttar Pradesh","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","VIKAS KHAND SHERGARH KI GRAM PANCHAYAT ME 10 STREET LIGHT","CHHATRA PAL SINGH GANGWAR","BAREILLY","N/A","13-Sep-2025","854043"
"2167","Normal/Others","WS/MP18159/2024-2025/145795-Construction of public libraries and reading rooms","Rajasthan","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","Construction work of  library room with veranda in R.U.M.V. Deenar. G.P. Deenar P.S. Lachhmangarh (Alwar)","BHUPENDER YADAV","ALWAR","Images","26-Sep-2025","999322"
"2168","Normal/Others","WS/MP18161/2024-2025/148963-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","cement interlocking ent kharnja with nali nirman karya main kharnja jatav basti avm myamad puriya wali gali gram chitokari work agency gp jharoli","SANJNA JATAV","BHARATPUR(SC)","Images","13-Aug-2025","983446"
"2169","Normal/Others","WS/MP524/2024-2025/147048-Installing tube-wells and borewells","Andhra Pradesh","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","Providing Borewell at SC Colony, Itikinellore","Midhun Reddy","RAJAMPET","Images","20-Jan-2025","173983"
"2170","Normal/Others","WS/MP568/2024-2025/161397-Construction of community centers and community halls","Chhattisgarh","BEMETARA(Collector Bemetara_IDA)","CC ROAD NIRMAN","Vijay Baghel","DURG","Images","08-Aug-2025","499496"
"2171","Normal/Others","WS/MP18161/2024-2025/138110-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","CC interlocking eat kharanja  Nirman karya mein sadak se Sundar master wali gali Avam vibhinn galiyon ke liye pipla work agency GP peepla","SANJNA JATAV","BHARATPUR(SC)","Images","20-Feb-2025","498803"
"2172","Normal/Others","WS/MP18161/2024-2025/138092-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","Cement interlocking kharanja Nirman may nali Jagan ke Ghar se Hari ke Ghar ki or va Anya galiyan malaha work agency GP malaha","SANJNA JATAV","BHARATPUR(SC)","Images","13-Feb-2026","499205"
"2173","Normal/Others","WS/MP18161/2024-2025/140180-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Rajasthan","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","shamshan ghat me shavdah grah v anya vikash karya gram baghai work agency gp jatoli Rathman","SANJNA JATAV","BHARATPUR(SC)","Images","25-Feb-2026","597520"
"2174","Normal/Others","WS/MP386/2024-2025/145023-Installing tube-wells and borewells","Rajasthan","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Installing of Single phase Tube Well near residance of Arjunram Legha,In Village -Dantina","Shri Hanuman Beniwal","NAGAUR","Images","04-Oct-2025","400000"
"2175","Normal/Others","WS/MP18108/2024-2025/163755-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","Gram Panchayat Chandamau me moti chadar ke ghar se bajrangbali ki or c.c. road nirman karya hetu.","DR. LATA WANKHEDE","SAGAR","N/A","17-Oct-2025","500000"
"2176","Normal/Others","WS/MP18032/2024-2025/136943-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Bihar","BUXAR(DISTRICT PLANNING OFFICER BUXAR_IDA)","Purchase 4 Tricycle","SUDHAKAR SINGH","BUXAR","N/A","20-Jan-2025","180000"
"2177","Normal/Others","WS/MP761/2024-2025/164498-Purchase of IT systems, including hardware and software for educational purposes","Telangana","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Purchase of IT systems , including hardware and software for educational purposes at ZPHS Laxmapur","Arvind Dharmapuri","NIZAMABAD","Images","20-Jan-2025","300000"
"2178","Normal/Others","WS/MP18354/2024-2025/138489-Purchase of IT systems, including hardware and software for educational purposes","Chhattisgarh","SURGUJA(Collector Surguja_IDA)","Purchase of IT systems. including hardware and software for educational purposes NEET/JE, Weekly Coaching Institute Ambikapur","CHINTAMANI MAHARAJ","SARGUJA(ST)","Images","04-Feb-2025","999500"
"2179","Normal/Others","WS/MP18152/2024-2025/157850-Street lights","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Installation of Street lights","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","200000"
"2180","Normal/Others","WS/MP18108/2024-2025/163756-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","Gram Panchayat Mudra Jaruwakheda me Main road se ram ji maharaj ke ghar ki or c.c. road nirman karya hetu.","DR. LATA WANKHEDE","SAGAR","Images","18-Sep-2025","1000000"
"2181","Normal/Others","WS/MP18336/2024-2025/156453-Construction of community centers and community halls","Chhattisgarh","RAIPUR(DISTRICT COLLECTOR RAIPUR_IDA)","SAMUDAYIK BHAWAN NIRMAN- GRAM PANCHAYAT KOHKA, BLOCK TILDA, RAIPUR","BRIJMOHAN AGRAWAL","RAIPUR","Images","24-Mar-2026","1000000"
"2182","Normal/Others","WS/MP18335/2024-2025/150745-Construction of common work sheds/ common covered sitting area","Chhattisgarh","RAIGARH(DISTRICT COLLECTOR RAIGARH_IDA)","Construction of shed","RADHE SHYAM RATHIYA","RAIGARH(ST)","Images","29-Jan-2026","700000"
"2183","Normal/Others","WS/MP429/2024-2025/157872-Installing tube-wells and borewells","Chhattisgarh","KORBA(Collector-Korba)","Submersible pump, Borewell work and Syntax Tank installation near Angadbadi, Panchayat - Kodar, Block - Pali","Jyotsna Charandas Mahant","KORBA","Images","14-Jul-2025","200000"
"2184","Normal/Others","WS/MP429/2024-2025/157873-Installing tube-wells and borewells","Chhattisgarh","KORBA(Collector-Korba)","Submersible pump, Borewell work and Syntax Tank installation at Birhor Mohalla near Shiv Charan ghar, Panchayat - Kodar , Block - Pali","Jyotsna Charandas Mahant","KORBA","Images","14-Jul-2025","200000"
"2185","Normal/Others","WS/MP429/2024-2025/155508-Installing hand pumps","Chhattisgarh","KORBA(Collector-Korba)","Hand Pump Installation work at Hardikachhar Shiv Ghar in Gram Panchayat - Kodar , Vikas Khand - Pali","Jyotsna Charandas Mahant","KORBA","Images","21-Apr-2026","173844"
"2186","Normal/Others","WS/MP18138/2024-2025/148125-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","MAMIT(DEPUTY COMMISSIONER MAMIT)","Construction of Foothpath N West phaileng Tuipuibari Road Near Pu Biakzinga House","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","05-Feb-2026","250000"
"2187","Normal/Others","WS/MP18138/2024-2025/148122-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","MAMIT(DEPUTY COMMISSIONER MAMIT)","Construction of Foothpaths Lallen Second raod Near Pu Sangluaia house","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","05-Feb-2026","250000"
"2188","Normal/Others","WS/MP18138/2024-2025/148124-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","MAMIT(DEPUTY COMMISSIONER MAMIT)","Construction of Foothpath Pukzing Main Road Near Pu Samuela House","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","05-Feb-2026","150000"
"2189","Normal/Others","WS/MP18138/2024-2025/148121-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","MAMIT(DEPUTY COMMISSIONER MAMIT)","Construction of Foothpath Kawnmawi Main road Near Society dawr. Kawnmawi","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","05-Feb-2026","250000"
"2190","Normal/Others","WS/MP18138/2024-2025/148120-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","MAMIT(DEPUTY COMMISSIONER MAMIT)","Construction of foothpath PWD Road near near Tlangnawna House. W Phaileng","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","05-Feb-2026","250000"
"2191","Normal/Others","WS/MP18138/2024-2025/148123-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","MAMIT(DEPUTY COMMISSIONER MAMIT)","Construction of Footpaths Phuldungsei, Phulpui Road Near Pu Sangluia House","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","05-Feb-2026","250000"
"2192","Normal/Others","WS/MP18031/2024-2025/143488-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","purchase of books for school library. sanction of five for lacs each school","ABHAY KUMAR SINHA","AURANGABAD_BR","Images","20-Jan-2025","499385"
"2193","Normal/Others","WS/MP18031/2024-2025/143492-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","purchase of books for school library. sanction of five lacs of each school","ABHAY KUMAR SINHA","AURANGABAD_BR","Images","20-Jan-2025","499385"
"2194","Normal/Others","WS/MP18031/2024-2025/143491-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","purchase of books for school library. sanction of five for lacs each school","ABHAY KUMAR SINHA","AURANGABAD_BR","Images","20-Jan-2025","499385"
"2195","Normal/Others","WS/MP18031/2024-2025/143490-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","purchase of books for school library. sanction of five for lacs each school","ABHAY KUMAR SINHA","AURANGABAD_BR","Images","20-Jan-2025","499385"
"2196","Normal/Others","WS/MP18138/2024-2025/148103-Construction of rooms and halls in school and colleges","Mizoram","MAMIT(DEPUTY COMMISSIONER MAMIT)","Renovation of Mamit High School - II","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","18-Sep-2025","500000"
"2197","Normal/Others","WS/MP18031/2024-2025/143513-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","purchase of books for school library. sanction of five lacs for  each and every school","ABHAY KUMAR SINHA","AURANGABAD_BR","Images","20-Jan-2025","499385"
"2198","Normal/Others","WS/MP18138/2024-2025/148115-Construction of community centers and community halls","Mizoram","MAMIT(DEPUTY COMMISSIONER MAMIT)","Construction of YMA Building at Rengdil South","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","02-May-2025","250000"
"2199","Normal/Others","WS/MP18006/2024-2025/141510-Construction of rooms and halls in school and colleges","Andhra Pradesh","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","Pending works at Z.P.H.S. Bangareddipalle Village, Diguvamasapalle G.P., Chittoor Rural Mandal.","DAGGUMALLA PRASADA RAO","CHITTOOR","Images","20-Jan-2025","399658"
"2200","Normal/Others","WS/MP18031/2024-2025/143512-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","purchase of books for school library. sanction of five lacs for  each and every school","ABHAY KUMAR SINHA","AURANGABAD_BR","Images","20-Jan-2025","499385"
"2201","Normal/Others","WS/MP18138/2024-2025/148105-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","MAMIT(DEPUTY COMMISSIONER MAMIT)","Construction of Link road at Tlangkhang","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","02-May-2025","1000000"
"2202","Normal/Others","WS/MP18138/2024-2025/148111-Installing tube-wells and borewells","Mizoram","MAMIT(DEPUTY COMMISSIONER MAMIT)","Construction of Public well/spring tanky near Pi Rosangchimi house. Luimawi","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","02-May-2025","250000"
"2203","Normal/Others","WS/MP18138/2024-2025/148116-Construction of community centers and community halls","Mizoram","MAMIT(DEPUTY COMMISSIONER MAMIT)","Construction of Assam Type Community hall at K Sarali","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","02-May-2025","250000"
"2204","Normal/Others","WS/MP18006/2024-2025/141509-Construction of rooms and halls in school and colleges","Andhra Pradesh","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","Painting of Z.P.H.S. Bangareddipalli Village, Diguvamasapalle G.P., Chittoor Rural Mandal.","DAGGUMALLA PRASADA RAO","CHITTOOR","Images","20-Jan-2025","498182"
"2205","Normal/Others","WS/MP18031/2024-2025/143517-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","purchase of books for school library. sanction of five lacs for  each and every school","ABHAY KUMAR SINHA","AURANGABAD_BR","Images","20-Jan-2025","499385"
"2206","Normal/Others","WS/MP18138/2024-2025/148113-Construction of community centers and community halls","Mizoram","MAMIT(DEPUTY COMMISSIONER MAMIT)","Construction of PDS/Rice Godown at Kolalian","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","02-May-2025","250000"
"2207","Normal/Others","WS/MP353/2024-2025/143935-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","IDUKKI(DISTRICT COLLECTOR IDUKKI_IDA)","Concreting of Moolamattom- Cherady-Ashramam road in  Arakkulam Grama Panchayath, Idukki Block .(ST category )","Adv Dean Kuriakose","IDUKKI","Images","20-Jan-2025",""
"2208","Normal/Others","WS/MP18031/2024-2025/143516-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","purchase of books for school library. sanction of five lacs for  each and every school","ABHAY KUMAR SINHA","AURANGABAD_BR","Images","20-Jan-2025","499385"
"2209","Normal/Others","WS/MP640/2024-2025/157589-Construction of culverts and bridges","Madhya Pradesh","SEONI(District Collector Seoni_IDA)","Janpad Panchayat Lakhanadon antargat gram panchayat aamai (bataka) ke gram pahargarh me pulia nirman.","Faggan Singh Kulaste","MANDLA(ST)","Images","21-Mar-2025","494969"
"2210","Normal/Others","WS/MP18138/2024-2025/148112-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","MAMIT(DEPUTY COMMISSIONER MAMIT)","Construction of link road to Tuikual Zau at bungthuam","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","23-Apr-2025","250000"
"2211","Normal/Others","WS/MP18138/2024-2025/148110-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","MAMIT(DEPUTY COMMISSIONER MAMIT)","Construction of PCC Flooring for Community at Hall Veng, Thinghlun","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","02-May-2025","250000"
"2212","Trust and Society","WS/MP18339/2024-2025/150671-Construction of rooms and halls in school and colleges","Uttar Pradesh","GONDA(DISTRICT MAGISTRATE GONDA_IDA)","S.No.1 Construction work of teaching room along with main verandah for the study of students in Shri Avadh Sharan Smarak Public School, Parsada, Belsar, Gonda.","KARAN BHUSHAN SINGH","KAISERGANJ","Images","25-Mar-2026","700000"
"2213","Normal/Others","WS/MP18138/2024-2025/148114-Construction of additional rooms and halls in the existing public and community building","Mizoram","MAMIT(DEPUTY COMMISSIONER MAMIT)","Renovation of BNRGSK building, saikhawthlir","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","18-Sep-2025","250000"
"2214","Normal/Others","WS/MP18006/2024-2025/136198-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","Construction of CC Road From Satyamma Temple to Subramanyam House in Thellagundlapalli Village in Bommaiahapalli GP of Vedurukuppam Mandal of GD Nelloore Constituency.","DAGGUMALLA PRASADA RAO","CHITTOOR","Images","20-Jan-2025","383850"
"2215","Normal/Others","WS/MP18031/2024-2025/143515-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","purchase of books for school library. sanction of five lacs for  each and every school","ABHAY KUMAR SINHA","AURANGABAD_BR","Images","20-Jan-2025","499385"
"2216","Normal/Others","WS/MP18031/2024-2025/143514-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","purchase of books for school library. sanction of five lacs for  each and every school","ABHAY KUMAR SINHA","AURANGABAD_BR","Images","20-Jan-2025","499385"
"2217","Normal/Others","WS/MP18006/2024-2025/150015-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","Construction of CC Road from Renuka House to Chandrakala House at Peddamittapalli ST Colony H/o in Nellepalle GP in G.D.Nellore Mandal.","DAGGUMALLA PRASADA RAO","CHITTOOR","Images","20-Jan-2025","485094"
"2218","Normal/Others","WS/MP18031/2024-2025/143518-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","purchase of books for school library. sanction of five lacs for  each and every school","ABHAY KUMAR SINHA","AURANGABAD_BR","Images","20-Jan-2025","499385"
"2219","Normal/Others","WS/MP18006/2024-2025/139521-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)","Construction of CC road from Kummari Arnapoorna House to Chalapathi House in Samudrampalli Village and GP of Palamaneru Mandal, Palamaneru Constituency.","DAGGUMALLA PRASADA RAO","CHITTOOR","Images","20-Jan-2025","47627"
"2220","Normal/Others","WS/MP18031/2024-2025/143527-Purchase of books and periodicals for libraries/digitization of library books","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","purchase of books for school library. sanction five lacs for every school.","ABHAY KUMAR SINHA","AURANGABAD_BR","Images","20-Jan-2025","499385"
"2221","Normal/Others","WS/MP18108/2024-2025/162836-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","Gram Panchayat Toda Gotamiya Ke ward No. 10 me balkishan Prajapti Ke ghar se hari rajak ke ghar ki or C.C. Road Nirman Hetu.","DR. LATA WANKHEDE","SAGAR","N/A","24-Oct-2025","500000"
"2222","Normal/Others","WS/MP18338/2024-2025/152410-Street lights","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","PROVIDING OF STREET LIGHTS IN PADAMATISOMARAM VILLAGE","CHAMALA KIRAN KUMAR REDDY","BHONGIR","N/A","20-Jan-2025","50000"
"2223","Normal/Others","WS/MP18338/2024-2025/152392-Street lights","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","PROVIDING OF STREET LIGHTS IN GUDUR VILLAGE","CHAMALA KIRAN KUMAR REDDY","BHONGIR","N/A","20-Jan-2025","72747"
"2224","Normal/Others","WS/MP18338/2024-2025/152393-Street lights","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","PROVIDING OF STREET LIGHTS IN GOLLAGUDEM VILLAGE","CHAMALA KIRAN KUMAR REDDY","BHONGIR","N/A","20-Jan-2025","35000"
"2225","Normal/Others","WS/MP18338/2024-2025/152398-Street lights","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","PROVIDING OF STREET LIGHTS IN JAMEELPETA VILLAGE","CHAMALA KIRAN KUMAR REDDY","BHONGIR","N/A","20-Jan-2025","69043"
"2226","Repair and Renovation","WS/MP18338/2024-2025/152399-Street lights","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","PROVIDING OF STREET LIGHTS IN JAMPALLY VILLAGE","CHAMALA KIRAN KUMAR REDDY","BHONGIR","N/A","20-Jan-2025","50000"
"2227","Normal/Others","WS/MP18338/2024-2025/152395-Street lights","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","PROVIDING OF STREET LIGHTS IN JAINAPALLY VILLAGE","CHAMALA KIRAN KUMAR REDDY","BHONGIR","N/A","20-Jan-2025","69043"
"2228","Normal/Others","WS/MP18338/2024-2025/152394-Street lights","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","PROVIDING OF STREET LIGHTS IN GURRALADANDI VILLAGE","CHAMALA KIRAN KUMAR REDDY","BHONGIR","N/A","20-Jan-2025","69043"
"2229","Normal/Others","WS/MP18338/2024-2025/152411-Street lights","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","PROVIDING OF STREET LIGHTS IN PALLEGUDEM VILLAGE","CHAMALA KIRAN KUMAR REDDY","BHONGIR","N/A","20-Jan-2025","24596"
"2230","Normal/Others","WS/MP18338/2024-2025/152412-Street lights","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","PROVIDING OF STREET LIGHTS IN RAHEEMKHANGUDA VILLAGE","CHAMALA KIRAN KUMAR REDDY","BHONGIR","N/A","20-Jan-2025","24596"
"2231","Normal/Others","WS/MP18338/2024-2025/152413-Street lights","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","PROVIDING OF STREET LIGHTS IN RAGHAVAPURAM VILLAGE","CHAMALA KIRAN KUMAR REDDY","BHONGIR","N/A","20-Jan-2025","24596"
"2232","Normal/Others","WS/MP18338/2024-2025/152414-Street lights","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","PROVIDING OF STREET LIGHTS IN RAYARAOPET VILLAGE","CHAMALA KIRAN KUMAR REDDY","BHONGIR","N/A","20-Jan-2025","24596"
"2233","Normal/Others","WS/MP18338/2024-2025/152391-Street lights","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","PROVIDING OF STREET LIGHTS IN BRAHMANAPALLY VILLAGE","CHAMALA KIRAN KUMAR REDDY","BHONGIR","N/A","20-Jan-2025","72747"
"2234","Normal/Others","WS/MP18338/2024-2025/152409-Street lights","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","PROVIDING OF STREET LIGHTS IN MAQDOOMPALLY VILLAGE","CHAMALA KIRAN KUMAR REDDY","BHONGIR","N/A","20-Jan-2025","35000"
"2235","Normal/Others","WS/MP18338/2024-2025/152400-Street lights","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","PROVIDING OF STREET LIGHTS IN JIYAPALLY VILLAGE","CHAMALA KIRAN KUMAR REDDY","BHONGIR","N/A","20-Jan-2025","50000"
"2236","Normal/Others","WS/MP18338/2024-2025/152401-Street lights","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","PROVIDING OF STREET LIGHTS IN JIYAPALLY THANDA VILLAGE","CHAMALA KIRAN KUMAR REDDY","BHONGIR","N/A","20-Jan-2025","50000"
"2237","Normal/Others","WS/MP18338/2024-2025/152406-Street lights","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","PROVIDING OF STREET LIGHTS IN MAKTHA ANANTHARAM VILLAGE","CHAMALA KIRAN KUMAR REDDY","BHONGIR","N/A","20-Jan-2025","35000"
"2238","Normal/Others","WS/MP18338/2024-2025/152408-Street lights","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","PROVIDING OF STREET LIGHTS IN NEMARUGOMULA VILLAGE","CHAMALA KIRAN KUMAR REDDY","BHONGIR","N/A","20-Jan-2025","50000"
"2239","Normal/Others","WS/MP18338/2024-2025/152404-Street lights","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","PROVIDING OF STREET LIGHTS IN MADHARAM VILLAGE","CHAMALA KIRAN KUMAR REDDY","BHONGIR","N/A","20-Jan-2025","28299"
"2240","Normal/Others","WS/MP18338/2024-2025/152405-Street lights","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","PROVIDING OF STREET LIGHTS IN MAHADEVPUR VILLAGE","CHAMALA KIRAN KUMAR REDDY","BHONGIR","N/A","20-Jan-2025","50000"
"2241","Normal/Others","WS/MP18338/2024-2025/152403-Street lights","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","PROVIDING OF STREET LIGHTS IN LAXMIDEVIGUDEM VILLAGE","CHAMALA KIRAN KUMAR REDDY","BHONGIR","N/A","20-Jan-2025","50000"
"2242","Normal/Others","WS/MP18338/2024-2025/152402-Street lights","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","PROVIDING OF STREET LIGHTS IN KONDAMADUGU VILLAGE","CHAMALA KIRAN KUMAR REDDY","BHONGIR","N/A","20-Jan-2025","98674"
"2243","Normal/Others","WS/MP18338/2024-2025/152415-Street lights","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","PROVIDING OF STREET LIGHTS IN RAMUNIGUNDLA THANDAVILLAGE","CHAMALA KIRAN KUMAR REDDY","BHONGIR","N/A","20-Jan-2025","24596"
"2244","Normal/Others","WS/MP18338/2024-2025/152416-Street lights","Telangana","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","PROVIDING OF STREET LIGHTS IN RAAVI PAHAD VILLAGE","CHAMALA KIRAN KUMAR REDDY","BHONGIR","N/A","20-Jan-2025","20000"
