"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"7064","West Bengal","Renovation of ponds and lakes","WS/MP867/2025-2026/200431","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Sudip Bandyopadhyay","KOLKATA UTTAR","13-May-2026","JOYTARA CONSTRUCTION","Payment Success","1776030"
"7065","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP18100/2025-2026/185652","CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA)","BUNTY VIVEK SAHU","CHHINDWARA","13-May-2026","SHANVI CONSTRUCTION","Payment Success","500000"
"7066","Punjab","Construction of community centers and community halls","WS/MP18154/2025-2026/199720","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","20-May-2026","Darshan Kumar","Payment Success","69000"
"7067","Telangana","Construction of community centers and community halls","WS/MP761/2026-2027/220977","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Arvind Dharmapuri","NIZAMABAD","19-May-2026","Donakonda Gangarajam","Payment Success","268220"
"7068","Telangana","Construction of boundary walls of existing public and community buildings","WS/MP761/2026-2027/221179","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Arvind Dharmapuri","NIZAMABAD","19-May-2026","Donakonda Gangarajam","Payment Success","268220"
"7069","Telangana","Construction of community centers and community halls","WS/MP761/2026-2027/221155","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Arvind Dharmapuri","NIZAMABAD","11-Aug-2026","Donakonda Gangarajam","Payment Success","268216"
"7070","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP428/2026-2027/275123","Kabeerdham(DISTRICT COLLECTOR KABIRDHAM)","Santosh Pandey","RAJNANDGAON","21-May-2026","Gram Panchayat Badaudakhurda","Payment Success","250000"
"7071","Madhya Pradesh","Installation of fixed garden gym equipment","WS/MP18101/2025-2026/229927","SAGAR(DISTRICT COLLECTOR SAGAR_IDA)","RAHUL SINGH LODHI","DAMOH","08-May-2026","Kartik Enterprises","Payment Success","911540"
"7072","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP428/2026-2027/275129","Kabeerdham(DISTRICT COLLECTOR KABIRDHAM)","Santosh Pandey","RAJNANDGAON","21-May-2026","GRAM PANCHAYAT NAWAGAON","Payment Success","250000"
"7073","Andhra Pradesh","Improvement of electricity distribution infrastructure","WS/MP18004/2025-2026/209729","Parvathipuram Manyam(District Collector Parvathipuram Manyam_IDA)","Gumma Thanuja Rani","ARAKU(ST)","23-Jun-2026","PAMPANA  NAGARAJU","Payment Success","254158"
"7074","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP428/2026-2027/275137","Kabeerdham(DISTRICT COLLECTOR KABIRDHAM)","Santosh Pandey","RAJNANDGAON","31-Jul-2026","GRAM PANCHAYAT DANIYAKHURDA","Payment Success","499998"
"7075","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP428/2026-2027/275137","Kabeerdham(DISTRICT COLLECTOR KABIRDHAM)","Santosh Pandey","RAJNANDGAON","13-Jul-2026","GRAM PANCHAYAT DANIYAKHURDA","Payment Success","500000"
"7076","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP428/2026-2027/275136","Kabeerdham(DISTRICT COLLECTOR KABIRDHAM)","Santosh Pandey","RAJNANDGAON","22-May-2026","GRAM PANCHAYAT DALSATOLA","Payment Success","150000"
"7077","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP428/2026-2027/275136","Kabeerdham(DISTRICT COLLECTOR KABIRDHAM)","Santosh Pandey","RAJNANDGAON","31-Jul-2026","GRAM PANCHAYAT DALSATOLA","Payment Success","149700"
"7078","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP428/2026-2027/275126","Kabeerdham(DISTRICT COLLECTOR KABIRDHAM)","Santosh Pandey","RAJNANDGAON","21-May-2026","GRAM PANCHAYAT AAMGAON","Payment Success","250000"
"7079","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP428/2026-2027/275128","Kabeerdham(DISTRICT COLLECTOR KABIRDHAM)","Santosh Pandey","RAJNANDGAON","20-May-2026","GRAM PACNHAYAT KOSMANDA","Payment Success","250000"
"7080","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP716/2025-2026/195398","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","15-May-2026","kissan Bhatta maur kalan","Payment Success","24480"
"7081","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP716/2025-2026/195398","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","15-May-2026","kissan Bhatta maur kalan","Payment Success","1837"
"7082","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP716/2025-2026/195398","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","15-May-2026","AMANDEEP SHUTTERS MANSA","Payment Success","19782"
"7083","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP716/2025-2026/195398","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","15-May-2026","AMBEY BRICKS KAMALU","Payment Success","18739"
"7084","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP381/2025-2026/227438","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","06-May-2026","Guru Nanak Trading Co","Payment Success","42929"
"7085","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP381/2025-2026/227438","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","06-May-2026","Guru Nanak Trading Co","Payment Success","154071"
"7086","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP716/2025-2026/195398","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","15-May-2026","GIANI REPAIRING MAUR MANDI","Payment Success","6090"
"7087","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP381/2025-2026/227438","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","18-May-2026","Kuldeep Singh","Payment Success","54000"
"7088","Telangana","Installing community drinking water plants","WS/MP18187/2026-2027/257691","ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA)","GODAM NAGESH","ADILABAD(ST)","19-May-2026","VAMSHI KRISHNA PUSHPALA","Payment Success","400000"
"7089","Telangana","Installing community drinking water plants","WS/MP18187/2026-2027/257696","ADILABAD(DISTRICT COLLECTOR ADILABAD_IDA)","GODAM NAGESH","ADILABAD(ST)","19-May-2026","VAMSHI KRISHNA PUSHPALA","Payment Success","400000"
"7090","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP381/2025-2026/262033","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","06-May-2026","Sandhu Cement Store","Payment Success","80000"
"7091","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP381/2025-2026/262033","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","06-May-2026","Sandhu Cement Store","Payment Success","85500"
"7092","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP381/2025-2026/262033","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","06-May-2026","Sandhu Cement Store","Payment Success","868"
"7093","Jammu And Kashmir","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP331/2025-2026/242055","SAMBA(Deputy Commissioner Samba_IDA)","Shri Jugal Kishore Sharma","JAMMU","13-May-2026","NARESH SINGH","Payment Success","393000"
