"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"4409","Normal/Others","WS/MP18374/2024-2025/150311-Setting up public non-conventional energy plants","Telangana","HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA)","Providing 5 KV Solar power system at Govt. BC Girls College Hostel, Secunderabad","Shri Anil Kumar Yadav Mandadi (2024-30) (NaN-NaN)","Elected MP","N/A","29-Mar-2025","990000"
"4410","Normal/Others","WS/MP18316/2024-2025/166108-Construction of additional rooms and halls in the existing public and community building","Madhya Pradesh","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","JK Resort Patlon road par bramhan samaj bhawan ke pass samudayak bhawan main kaksh nirman","Smt. Maya Naroliya (2024-30) (NaN-NaN)","Elected MP","N/A","12-Dec-2025","998431"
"4411","Normal/Others","WS/MP140/2024-2025/176359-Purchase of mobile water tankers","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Regarding for giving single walled fabrication of 5000 ltr water tanker to Village. 2mm stainless sheet AISI 304 Material etc. (SC)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","10-Feb-2026","365800"
"4412","Normal/Others","WS/MP163/2024-2025/136123-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at Bharathiyar 8th street in Karadipatti Village, Madurai District.","Shri R. Girirajan (2022-28) (NaN-NaN)","Elected MP","N/A","08-Apr-2025","997665"
"4413","Normal/Others","WS/MP163/2024-2025/136125-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at Mullai Veethi 8th street in Karadipatti Village, Madurai District.","Shri R. Girirajan (2022-28) (NaN-NaN)","Elected MP","N/A","08-Apr-2025","997498"
"4414","Normal/Others","WS/MP163/2024-2025/136124-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at MalligaiVeethi in Karadipatti Village, Madurai District.","Shri R. Girirajan (2022-28) (NaN-NaN)","Elected MP","N/A","08-Apr-2025","997176"
"4415","Normal/Others","WS/MP163/2024-2025/136128-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at Bharathiyar  10th  street North side in Karadipatti Village, Madurai District","Shri R. Girirajan (2022-28) (NaN-NaN)","Elected MP","N/A","09-Apr-2025","997588"
"4416","Normal/Others","WS/MP163/2024-2025/136127-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at Thamarai Veethi 11th street in Karadipatti Village, Madurai District.","Shri R. Girirajan (2022-28) (NaN-NaN)","Elected MP","N/A","09-Apr-2025","997170"
"4417","Normal/Others","WS/MP163/2024-2025/136130-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at 3rd street in Bharathiyar Nagar, Karadipatti Village, Madurai District","Shri R. Girirajan (2022-28) (NaN-NaN)","Elected MP","N/A","09-Apr-2025","996515"
"4418","Normal/Others","WS/MP163/2024-2025/136129-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at 4th  street in Bharathiyar Nagar, Karadipatti Village, Madurai District","Shri R. Girirajan (2022-28) (NaN-NaN)","Elected MP","N/A","07-Apr-2025","997526"
"4419","Normal/Others","WS/MP163/2024-2025/136132-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at Bharathiyar 10th street South Side in Karadipatti Village, Madurai District","Shri R. Girirajan (2022-28) (NaN-NaN)","Elected MP","N/A","09-Apr-2025","996901"
"4420","Normal/Others","WS/MP163/2024-2025/136131-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at 2nd street in Bharathiyar Nagar, Karadipatti Village, Madurai District","Shri R. Girirajan (2022-28) (NaN-NaN)","Elected MP","N/A","07-Apr-2025","997293"
"4421","Normal/Others","WS/MP18304/2024-2025/184479-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Construction of road Mehli Shoghi Junga Sadhupul Road KM 12 375 to 48 925","Shri Harsh Mahajan (2024-30) (NaN-NaN)","Elected MP","N/A","10-Nov-2025","2500000"
"4422","Normal/Others","WS/MP140/2025-2026/180864-Purchase of mobile water tankers","Punjab","Tarn Taran(DEPUTY COMMOSSIONER TARN TARAN_IDA_2)","Regarding for giving single walled fabrication of 5000 ltr water tanker to Village. 2mm stainless sheet AISI 304 Material etc. (SC)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","02-Apr-2025","365800"
"4423","Normal/Others","WS/MP078/2024-2025/169599-Street lights","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Installation of 03 Solar Street Light","Dr. Sikander Kumar (2022-28) (NaN-NaN)","Elected MP","N/A","06-Apr-2026","46215"
"4424","Normal/Others","WS/MP078/2024-2025/174875-Installing hand pumps","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Installation of Sumrishival Motor in the Handpump","Dr. Sikander Kumar (2022-28) (NaN-NaN)","Elected MP","N/A","23-Aug-2025","50000"
"4425","Normal/Others","WS/MP140/2024-2025/157489-Purchase of mobile water tankers","Punjab","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Regarding for giving single walled fabrication of 5000ltr water tanker to Village. 2mm stainless sheet AISI 304 Material etc. (SC)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","17-Feb-2026","365800"
"4426","Normal/Others","WS/MP18304/2024-2025/146871-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","construction work of Link Roads And pathways","Shri Harsh Mahajan (2024-30) (NaN-NaN)","Elected MP","N/A","28-Jan-2026","200000"
"4427","Normal/Others","WS/MP850/2024-2025/17451-Construction of community centers and community halls","Uttarakhand","PAURI GARHWAL(DISTRICT MAGISTRATE PAURI GARHWAL_IDA)","CONSTRUCTION OF TIN SHED IN EXISTING PANCHAYAT BHAWAN OF SILSU TALLA GAON .   IA( KARYADAI SANSTATHA )  - BLOCK KOT","Shri Naresh Bansal (2020-26) (NaN-NaN)","Elected MP","Images","04-Apr-2025","200000"
"4428","Normal/Others","WS/MP889/2024-2025/154660-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Gujarat","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Khardosan Ta. Disa :For facility work in the Smashan (2024-25)","Shri Babubhai Jesangbhai Desai (2023-29) (NaN-NaN)","Elected MP","Images","03-Apr-2025","500000"
"4429","Normal/Others","WS/MP889/2024-2025/154666-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Gujarat","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Javal Ta. Deesa :For facility work in the Smashan (2024-25)","Shri Babubhai Jesangbhai Desai (2023-29) (NaN-NaN)","Elected MP","Images","04-Aug-2025","500000"
"4430","Normal/Others","WS/MP019/2025-2026/164878-Construction of culverts and bridges","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Construction work of culvert near Ambedkar site in revenue village Gobariya of Gram Sabha Jamgaon of development block Ghorawal","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2026","996232"
"4431","Normal/Others","WS/MP202/2024-2025/143792-Improvement of electricity distribution infrastructure","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","AARAJI NO 449/1 MAUJA BABATPUR ATHGAWN ME BANDANA CHAURASIYA PM RESORT KE PASS 33 KVA LINE KA VIDHUTIKARAN KARYA","Smt. Seema Dwivedi (2020-26) (NaN-NaN)","Elected MP","Images","07-May-2025","1638800"
"4432","Normal/Others","WS/MP019/2025-2026/164879-Construction of culverts and bridges","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Construction work of culvert in the drain near Rameshwar farm in Gram Sabha Uchka of development block Ghorawal","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","Images","17-Oct-2025","997230"
"4433","Normal/Others","WS/MP019/2025-2026/164907-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Installation of high mast light near Marachi Vijhwar Shankar Ji temple of development block Ghorawal","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2026","473320"
"4434","Normal/Others","WS/MP019/2025-2026/164886-Construction of public toilets and bathrooms","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Construction work of public women toilet in development block Ghorawal Gram Panchayat Khuthan Tehsil Complex","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2026","999664"
"4435","Normal/Others","WS/MP019/2025-2026/164887-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Work of high mast light installation in development block Ghorawal Gram Panchayat Khuthan Tehsil Complex","Shri Hardeep Singh Puri (2020-26) (NaN-NaN)","Elected MP","Images","14-Jan-2026","472913"
