"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1124","Normal/Others","WS/MP195/2023-2024/23826-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","29-Dec-2023"
"1125","Normal/Others","WS/MP195/2023-2024/23827-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","29-Dec-2023"
"1126","Normal/Others","WS/MP195/2023-2024/23828-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","29-Dec-2023"
"1127","Normal/Others","WS/MP195/2023-2024/23829-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","29-Dec-2023"
"1128","Normal/Others","WS/MP195/2023-2024/23830-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273.5","29-Dec-2023"
"1129","Normal/Others","WS/MP195/2023-2024/23831-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","29-Dec-2023"
"1130","Normal/Others","WS/MP195/2023-2024/23832-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","29-Dec-2023"
"1131","Normal/Others","WS/MP195/2023-2024/23833-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163272.5","29-Dec-2023"
"1132","Normal/Others","WS/MP195/2023-2024/23834-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163272.5","29-Dec-2023"
"1133","Normal/Others","WS/MP195/2023-2024/23835-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163272.5","29-Dec-2023"
"1134","Normal/Others","WS/MP195/2023-2024/23836-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163272.5","29-Dec-2023"
"1135","Normal/Others","WS/MP195/2023-2024/23837-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163272.5","29-Dec-2023"
"1136","Normal/Others","WS/MP195/2023-2024/23838-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163272.5","29-Dec-2023"
"1137","Normal/Others","WS/MP195/2023-2024/23839-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163272.5","29-Dec-2023"
"1138","Normal/Others","WS/MP195/2023-2024/23840-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163272.5","29-Dec-2023"
"1139","Normal/Others","WS/MP195/2023-2024/23841-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","29-Dec-2023"
"1140","Normal/Others","WS/MP195/2023-2024/23842-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163272.5","29-Dec-2023"
"1141","Normal/Others","WS/MP195/2023-2024/23843-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163272.5","29-Dec-2023"
"1142","Normal/Others","WS/MP195/2023-2024/23844-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163272.5","29-Dec-2023"
"1143","Normal/Others","WS/MP195/2023-2024/23845-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163272.5","29-Dec-2023"
"1144","Normal/Others","WS/MP195/2023-2024/23846-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163272.5","29-Dec-2023"
"1145","Normal/Others","WS/MP195/2023-2024/23847-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","29-Dec-2023"
"1146","Normal/Others","WS/MP195/2023-2024/23848-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","29-Dec-2023"
"1147","Normal/Others","WS/MP195/2023-2024/23849-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","29-Dec-2023"
"1148","Normal/Others","WS/MP195/2023-2024/23850-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","28-Dec-2023"
"1149","Normal/Others","WS/MP195/2023-2024/23851-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163272.5","28-Dec-2023"
"1150","Normal/Others","WS/MP195/2023-2024/23852-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163272.5","28-Dec-2023"
"1151","Normal/Others","WS/MP195/2023-2024/23853-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","28-Dec-2023"
"1152","Normal/Others","WS/MP195/2023-2024/23854-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","28-Dec-2023"
"1153","Normal/Others","WS/MP195/2023-2024/23855-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","28-Dec-2023"
"1154","Normal/Others","WS/MP195/2023-2024/23856-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","28-Dec-2023"
"1155","Normal/Others","WS/MP195/2023-2024/23857-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","28-Dec-2023"
"1156","Normal/Others","WS/MP195/2023-2024/23858-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","28-Dec-2023"
"1157","Normal/Others","WS/MP195/2023-2024/23859-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","28-Dec-2023"
"1158","Normal/Others","WS/MP195/2023-2024/23860-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","28-Dec-2023"
"1159","Normal/Others","WS/MP195/2023-2024/23861-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","28-Dec-2023"
"1160","Normal/Others","WS/MP195/2023-2024/23862-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","28-Dec-2023"
"1161","Normal/Others","WS/MP195/2023-2024/23863-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","28-Dec-2023"
"1162","Normal/Others","WS/MP195/2023-2024/23864-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","28-Dec-2023"
"1163","Normal/Others","WS/MP195/2023-2024/23865-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","28-Dec-2023"
"1164","Normal/Others","WS/MP195/2023-2024/23866-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","28-Dec-2023"
"1165","Normal/Others","WS/MP195/2023-2024/23867-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","28-Dec-2023"
"1166","Normal/Others","WS/MP195/2023-2024/23868-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","28-Dec-2023"
"1167","Normal/Others","WS/MP195/2023-2024/23869-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","28-Dec-2023"
"1168","Normal/Others","WS/MP195/2023-2024/23870-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","28-Dec-2023"
"1169","Normal/Others","WS/MP195/2023-2024/23871-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","28-Dec-2023"
"1170","Normal/Others","WS/MP195/2023-2024/23872-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","28-Dec-2023"
"1171","Normal/Others","WS/MP195/2023-2024/23873-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","28-Dec-2023"
"1172","Normal/Others","WS/MP195/2023-2024/23874-Lighting of public spaces","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","High Mast LED Light (9.5 mtrs MS Pole with 6 LED Light 150 W)","20-Sep-2023","163273","28-Dec-2023"
"1173","Normal/Others","WS/MP195/2023-2024/23875-Installing community drinking water plants","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","Water Cooler (Blue Star 80x120 ltrs) with water supply connection","20-Sep-2023","280643","09-Jan-2024"
"1174","Normal/Others","WS/MP195/2023-2024/23876-Installing community drinking water plants","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","Water Cooler (Blue Star 80x120 ltrs) with water supply connection","20-Sep-2023","280643","09-Jan-2024"
"1175","Normal/Others","WS/MP195/2023-2024/23877-Installing community drinking water plants","Uttar Pradesh","BUDAUN(DISTRICT MAGISTRATE BUDAUN_IDA)","Shri B.L. Verma (2020-26) (2020-2026)","Elected MP","Water Cooler (Blue Star 80x120 ltrs) with water supply connection","20-Sep-2023","280643","09-Jan-2024"
"1176","Normal/Others","WS/MP084/2024-2025/24465-Construction of community centers and community halls","Karnataka","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","Construction of Godown for Farmers by  P.A.C.S.Bank, Hariharapura, Koppa Taluk, Chikkamagalur District.","22-Sep-2023","500000","03-Jan-2025"
"1177","Normal/Others","WS/MP202/2023-2024/24475-Construction of rooms and halls in school and colleges","Uttar Pradesh","PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","Jila Prayagraj Mahaveer College of Higher Education Andhawa  Saray iInayat Me Class Room and building","22-Sep-2023","2500000","08-Mar-2024"
"1178","Normal/Others","WS/MP192/2023-2024/24891-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Installation of Multy-Gym Equipment- Village Badalpur me Airforce station wala park. Working -Agency-Uttar Pradesh Small Industries Corporation LTD Ghaziabad. Contact- Narendra Nagar-991011366","22-Sep-2023","805000","02-Jan-2024"
"1179","Normal/Others","WS/MP192/2023-2024/24892-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","????? ??????? ????? ????? ??? ??????? ?? ?? ???? ?? ??? ???? ?? ????? Installation of Multy-Gym Equipment- Village Badalpur me Mayawati ji ki kothi ka pass imli ka park. Working -Agency-Uttar Pradesh Small Industries Corporation LTD Ghaziabad. Contact- Narendra Nagar-991011366","22-Sep-2023","805000","02-Jan-2024"
"1180","Normal/Others","WS/MP192/2023-2024/24893-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Installation of Multy-Gym Equipment- Village salempur Gujjar me panchayat ghar me. Working -Agency-Uttar Pradesh Small Industries Corporation LTD Ghaziabad. Contact- Somendra-9654839614","22-Sep-2023","805000","02-Jan-2024"
"1181","Normal/Others","WS/MP192/2023-2024/24894-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Installation of Multy-Gym Equipment-  Village kachera me Maharaja Nain singh Inter College Kachera me. Working -Agency-Uttar Pradesh Small Industries Corporation LTD Ghaziabad. Contact- Bhumesh p-9312240462","22-Sep-2023","805000","02-Jan-2024"
"1182","Normal/Others","WS/MP192/2023-2024/24895-Installation of multi-gym equipment","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","????? ?????? ????? ????? ??? ???? ??? ????? ?? ?  Installation of Multy-Gym Equipment- Village Dujana me Dadi Sati mandir par. Working -Agency-Uttar Pradesh Small Industries Corporation LTD Ghaziabad. Contact- Ompal Pradhan-9810539808","22-Sep-2023","805000","02-Jan-2024"
