"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"6569","Punjab","Construction of stadiums","WS/MP141/2023-2024/80689","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","07-Aug-2025","RAVINDER KAUR WO BALVIR SINGH","Payment Success","10000"
"6570","Punjab","Construction of stadiums","WS/MP141/2023-2024/80689","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","07-Aug-2025","ANUVEER KUMARI DO SARWAN SINGH","Payment Success","10000"
"6571","Punjab","Construction of stadiums","WS/MP141/2023-2024/80689","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","07-Aug-2025","GURDIAL SINGH SO KARNAIL SINGH","Payment Success","10000"
"6572","Gujarat","Setting up of kitchen and pantries","WS/MP18403/2025-2026/157876","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","07-Aug-2025","KHATASANA GRAM PAN CHAYAT","Payment Success","250000"
"6573","Himachal Pradesh","Street lights","WS/MP078/2025-2026/207485","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","07-Aug-2025","GP Manjheli","Payment Success","16575"
"6574","Chhattisgarh","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP18340/2025-2026/197523","RAIPUR(DISTRICT COLLECTOR RAIPUR_IDA)","Shri Devendra Pratap Singh (2024-30) (2024-2030)","Elected MP","08-Aug-2025","Maruti Suzuki India Limited","Payment Success","1065680"
"6575","Chhattisgarh","Purchase of vehicle for mobile dispensaries (Four, three and two wheelers)","WS/MP18340/2025-2026/197523","RAIPUR(DISTRICT COLLECTOR RAIPUR_IDA)","Shri Devendra Pratap Singh (2024-30) (2024-2030)","Elected MP","08-Aug-2025","NR COACH WORKS PRIVATE LIMITED","Payment Success","377600"
"6576","Tamil Nadu","Setting up of laboratories","WS/MP18437/2026-2027/255195","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri S.R. Sivalingam (2025-31) (2025-2031)","Elected MP","20-May-2026","DIAMOND ENTERPRISES","Payment Success","625000"
"6577","Tamil Nadu","Setting up of laboratories","WS/MP18437/2026-2027/255196","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri S.R. Sivalingam (2025-31) (2025-2031)","Elected MP","20-May-2026","DIAMOND ENTERPRISES","Payment Success","625000"
"6578","Tamil Nadu","Setting up of laboratories","WS/MP18437/2026-2027/255197","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri S.R. Sivalingam (2025-31) (2025-2031)","Elected MP","20-May-2026","DIAMOND ENTERPRISES","Payment Success","625000"
"6579","Tamil Nadu","Setting up of laboratories","WS/MP18437/2026-2027/255198","SALEM(DISTRICT COLLECTOR SALEM_IDA)","Shri S.R. Sivalingam (2025-31) (2025-2031)","Elected MP","20-May-2026","DIAMOND ENTERPRISES","Payment Success","625000"
"6580","Puducherry","Construction of public libraries and reading rooms","WS/MP139/2025-2026/158705","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","12-Aug-2025","S P Elumalai and Sons","Payment Success","2082928"
"6581","Puducherry","Construction of public libraries and reading rooms","WS/MP139/2025-2026/158705","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","21-Nov-2025","S P Elumalai and Sons","Payment Success","2152766"
"6582","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2025-2026/191731","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","05-Jul-2025","GP Dehna","Payment Success","150000"
"6583","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2025-2026/191732","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","05-Jul-2025","GP Dehna","Payment Success","150000"
"6584","Maharashtra","Construction of bus-sheds or bus-stops","WS/MP108/2025-2026/177385","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","05-Dec-2025","PARASHRAM MAJUR KAMGAR SAH SOCI PIMPLOD","Payment Success","407355"
"6585","Maharashtra","Construction of bus-sheds or bus-stops","WS/MP108/2025-2026/177385","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","24-Mar-2026","PARASHRAM MAJUR KAMGAR SAH SOCI PIMPLOD","Payment Success","90020"
"6586","Maharashtra","Construction of community centers and community halls","WS/MP108/2024-2025/137249","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","19-Sep-2025","PARASHRAM MAJUR KAMGAR SAH SOCI PIMPLOD","Payment Success","2000000"
"6587","Maharashtra","Construction of community centers and community halls","WS/MP108/2024-2025/137252","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","02-Jul-2025","PARASHRAM MAJUR KAMGAR SAH SOCI PIMPLOD","Payment Success","900000"
"6588","Assam","Construction of community centers and community halls","WS/MP071/2025-2026/157993","DHEMAJI(DEPUTY COMMISSIONER DHEMAJI_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","04-Jul-2025","Homen Pegu","Payment Success","4987064"
"6589","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18291/2025-2026/149675","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030)","Elected MP","17-Jul-2025","KHIJADIYA RADADIYA GRAM PANCHAYAT","Payment Success","300000"
"6590","Andhra Pradesh","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP18373/2024-2025/158413","PRAKASAM(DISTRICT COLLECTOR PRAKASAM_IDA)","Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030)","Elected MP","15-Jul-2025","GOTTIPATI MADHUSUDHANA RAO","Payment Success","1409935"
"6591","Andhra Pradesh","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP18373/2024-2025/158413","PRAKASAM(DISTRICT COLLECTOR PRAKASAM_IDA)","Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030)","Elected MP","29-Jan-2026","GOTTIPATI MADHUSUDHANA RAO","Payment Success","2354065"
"6592","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2025-2026/197586","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","01-Aug-2025","GP Daruhi","Payment Success","200000"
"6593","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2025-2026/197586","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","14-Jan-2026","GP Daruhi","Payment Success","100000"
"6594","Uttarakhand","Construction of buildings for community cultural activities","WS/MP850/2025-2026/173678","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","02-Jul-2025","JABAR SINGH","Payment Success","369574"
"6595","Uttarakhand","Construction of buildings for community cultural activities","WS/MP850/2025-2026/173678","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","25-Sep-2025","JABAR SINGH","Payment Success","452802"
"6596","Uttarakhand","Construction of buildings for community cultural activities","WS/MP850/2025-2026/173678","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","12-May-2026","JABAR SINGH","Payment Success","177624"
"6597","Himachal Pradesh","Construction of community centers and community halls","WS/MP18304/2025-2026/172612","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","02-Jul-2025","GP Dhalot","Payment Success","150000"
"6598","Himachal Pradesh","Construction of community centers and community halls","WS/MP18304/2025-2026/172612","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","25-Nov-2025","GP Dhalot","Payment Success","50000"
"6599","Himachal Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP078/2025-2026/199254","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","02-Jul-2025","GP Dhalot","Payment Success","150000"
"6600","Himachal Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP078/2025-2026/199254","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","25-Nov-2025","GP Dhalot","Payment Success","150000"
"6601","Chandigarh","Construction of rooms and halls in school and colleges","WS/MP18365/2025-2026/182591","MOGA(Deputy Commissioner Moga)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","09-Jul-2025","Resham Singh Contractor","Payment Success","68260"
"6602","Chandigarh","Construction of rooms and halls in school and colleges","WS/MP18365/2025-2026/182591","MOGA(Deputy Commissioner Moga)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","15-Sep-2025","Resham Singh Contractor","Payment Success","43214"
"6603","Chandigarh","Construction of rooms and halls in school and colleges","WS/MP18365/2025-2026/182591","MOGA(Deputy Commissioner Moga)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","05-Aug-2025","Resham Singh Contractor","Payment Success","172476"
"6604","Assam","Construction of community centers and community halls","WS/MP071/2025-2026/184476","NALBARI(DEPUTY COMMISSIONER NALBARI_IDA)","Shri Pabitra Margherita (2022-28) (2022-2028)","Elected MP","11-Aug-2025","PJ Associate","Payment Success","3000000"
"6605","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2025-2026/199252","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","06-Nov-2025","GP Tapre MPLADs","Payment Success","100000"
"6606","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2025-2026/199252","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","13-Feb-2026","GP Tapre MPLADs","Payment Success","200000"
"6607","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2025-2026/222400","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","03-Nov-2025","GP Tapre MPLADs","Payment Success","100000"
"6608","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2025-2026/222400","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","13-Feb-2026","GP Tapre MPLADs","Payment Success","100000"
"6609","Tamil Nadu","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP166/2024-2025/152037","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","03-Jul-2025","SATHESHKUMAR S","Payment Success","964920"
"6610","Maharashtra","Construction of shelters for animals","WS/MP108/2024-2025/146405","WARDHA(DISTRICT COLLECTOR WARDHA_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","01-Jul-2025","saurabh ulhas hadke","Payment Success","700000"
"6611","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2025-2026/206253","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","07-Jul-2025","DEVRAJ TRADERS","Payment Success","100000"
"6612","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2025-2026/206253","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","07-Jul-2025","AJEET PATEL","Payment Success","400000"
"6613","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP138/2025-2026/213900","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","02-Mar-2026","BISHNU PRASAD SAHU","Payment Success","500000"
"6614","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP138/2025-2026/213902","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","19-Jan-2026","BISHNU PRASAD SAHU","Payment Success","359217"
"6615","Delhi","Lighting of public spaces","WS/MP878/2025-2026/228270","NEW DELHI(COMMISSIONER MCD NEW DELHI)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","30-Mar-2026","LIMRA ENGINEERING WORKS","Payment Success","370414"
"6616","Delhi","Lighting of public spaces","WS/MP878/2025-2026/228267","NEW DELHI(COMMISSIONER MCD NEW DELHI)","Shri Sanjay Singh (2024-30) (2024-2030)","Elected MP","30-Mar-2026","LIMRA ENGINEERING WORKS","Payment Success","355941"
"6617","Delhi","Street lights","WS/MP879/2025-2026/195174","NEW DELHI(COMMISSIONER MCD NEW DELHI)","Shri Narain Dass Gupta (2024-30) (2024-2030)","Elected MP","12-Jun-2026","LIMRA ENGINEERING WORKS","Payment Success","704158"
"6618","Tamil Nadu","Setting up of laboratories","WS/MP015/2025-2026/254285","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","03-Feb-2026","EVEREST ENTERPRISES","Payment Success","625000"
"6619","Tamil Nadu","Setting up of laboratories","WS/MP015/2025-2026/254286","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","03-Feb-2026","EVEREST ENTERPRISES","Payment Success","625000"
"6620","Tamil Nadu","Setting up of laboratories","WS/MP015/2025-2026/254287","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","03-Feb-2026","EVEREST ENTERPRISES","Payment Success","625000"
"6621","Tamil Nadu","Setting up of laboratories","WS/MP015/2025-2026/254288","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","03-Feb-2026","EVEREST ENTERPRISES","Payment Success","625000"
"6622","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP842/2025-2026/204534","PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA)","Smt. P. T. Usha (2022-28) (2022-2028)","Nominated MP","07-Jul-2025","BIJU K","Payment Success","785918"
"6623","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP842/2025-2026/243149","PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA)","Smt. P. T. Usha (2022-28) (2022-2028)","Nominated MP","06-Nov-2025","BIJU K","Payment Success","783795"
"6624","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18334/2024-2025/147299","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","31-Jul-2025","VIJAYA KETHANA CONSTRUCTIONS","Payment Success","278187"
"6625","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18334/2024-2025/147300","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","31-Jul-2025","VIJAYA KETHANA CONSTRUCTIONS","Payment Success","247071"
"6626","Rajasthan","Construction of community centers and community halls","WS/MP18298/2024-2025/155715","Jodhpur Gramin(DISTRICT COLLECTOR JODHPUR RURAL_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","07-Jul-2025","RUDRANSH ENTERPRISES","Payment Success","450000"
"6627","Rajasthan","Construction of community centers and community halls","WS/MP18298/2024-2025/155715","Jodhpur Gramin(DISTRICT COLLECTOR JODHPUR RURAL_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","13-May-2026","RUDRANSH ENTERPRISES","Payment Success","149845"
"6628","Rajasthan","Construction of community centers and community halls","WS/MP18298/2024-2025/155716","Jodhpur Gramin(DISTRICT COLLECTOR JODHPUR RURAL_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","07-Jul-2025","RUDRANSH ENTERPRISES","Payment Success","450000"
"6629","Rajasthan","Construction of community centers and community halls","WS/MP18298/2024-2025/155716","Jodhpur Gramin(DISTRICT COLLECTOR JODHPUR RURAL_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","13-May-2026","RUDRANSH ENTERPRISES","Payment Success","149927"
"6630","Rajasthan","Construction of community centers and community halls","WS/MP18298/2024-2025/155717","Jodhpur Gramin(DISTRICT COLLECTOR JODHPUR RURAL_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","07-Jul-2025","RUDRANSH ENTERPRISES","Payment Success","450000"
"6631","Chandigarh","Construction of rooms and halls in school and colleges","WS/MP18365/2025-2026/182591","MOGA(Deputy Commissioner Moga)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","09-Jul-2025","Hind Brick Industries","Payment Success","36000"
"6632","Chandigarh","Construction of rooms and halls in school and colleges","WS/MP18365/2025-2026/182591","MOGA(Deputy Commissioner Moga)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","09-Jul-2025","Hind Brick Industries","Payment Success","36000"
"6633","Chandigarh","Construction of rooms and halls in school and colleges","WS/MP18365/2025-2026/182591","MOGA(Deputy Commissioner Moga)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","09-Jul-2025","Hind Brick Industries","Payment Success","36000"
"6634","Chandigarh","Construction of rooms and halls in school and colleges","WS/MP18365/2025-2026/182591","MOGA(Deputy Commissioner Moga)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","09-Jul-2025","Hind Brick Industries","Payment Success","24300"
"6635","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP101/2025-2026/90216","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","03-Mar-2026","F1 SOLUTIONS","Payment Success","694430"
"6636","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP887/2024-2025/151272","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Dinesh Sharma (2023-26) (2023-2026)","Elected MP","18-Jul-2025","SHAKTI TARPRODUCTS CONSTRUCTION DIVISION","Payment Success","1166671"
"6637","Uttarakhand","Construction of community centers and community halls","WS/MP204/2025-2026/144165","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","12-Dec-2025","SOHAN","Payment Success","327803"
"6638","Uttarakhand","Construction of community centers and community halls","WS/MP204/2025-2026/144165","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","25-Jun-2026","SOHAN","Payment Success","172197"
"6639","Gujarat","Purchase of smart boards, visual display units and projectors","WS/MP891/2025-2026/210220","MORBI(District collector Morbi_IDA)","Shri Kesridevsinh Jhala (2023-29) (2023-2029)","Elected MP","03-Mar-2026","dg infocare","Payment Success","140000"
"6640","Gujarat","Purchase of smart boards, visual display units and projectors","WS/MP891/2024-2025/139717","MORBI(District collector Morbi_IDA)","Shri Kesridevsinh Jhala (2023-29) (2023-2029)","Elected MP","02-Jul-2025","dg infocare","Payment Success","179000"
"6641","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP103/2025-2026/180021","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","11-Jul-2025","NEW SHRI AGRO INDUSTRIES","Payment Success","200000"
"6642","Assam","Construction of culverts and bridges","WS/MP831/2024-2025/132574","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","03-Jul-2025","Fungkha Brahma","Payment Success","997580"
"6643","Assam","Construction of culverts and bridges","WS/MP831/2024-2025/132575","KOKRAJHAR(DEPUTY COMMISSIONER KOKRAJHAR_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","02-Jul-2025","Fungkha Brahma","Payment Success","499135"
"6644","Punjab","Construction of community centers and community halls","WS/MP843/2024-2025/166183","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","11-Jul-2025","VISHAL TRADERS","Payment Success","34000"
"6645","Punjab","Construction of community centers and community halls","WS/MP843/2024-2025/166183","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","10-Nov-2025","VISHAL TRADERS","Payment Success","20400"
"6646","Punjab","Construction of community centers and community halls","WS/MP843/2024-2025/166183","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","10-Nov-2025","Sandhar Building Material","Payment Success","16200"
"6647","Punjab","Construction of community centers and community halls","WS/MP843/2024-2025/166183","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","10-Nov-2025","Sandhar Building Material","Payment Success","15197"
"6648","Punjab","Construction of community centers and community halls","WS/MP843/2024-2025/166183","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","11-Jul-2025","Sandhar Building Material","Payment Success","13023"
"6649","Punjab","Construction of community centers and community halls","WS/MP843/2024-2025/166183","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","11-Jul-2025","Sandhar Building Material","Payment Success","8179"
"6650","Punjab","Construction of community centers and community halls","WS/MP843/2024-2025/166183","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","30-Jan-2026","Sandhar Building Material","Payment Success","37996"
"6651","Punjab","Construction of community centers and community halls","WS/MP843/2024-2025/166183","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","30-Jan-2026","Sandhar Building Material","Payment Success","12722"
"6652","Punjab","Construction of community centers and community halls","WS/MP843/2024-2025/166183","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Dr. Ashok Kumar Mittal (2022-28) (2022-2028)","Elected MP","11-Jul-2025","Resham Iron Store","Payment Success","22194"
"6653","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2024-2025/177943","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","03-Jul-2025","deevan singh","Payment Success","128852"
"6654","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2024-2025/177943","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","21-Nov-2025","deevan singh","Payment Success","127637"
"6655","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2024-2025/177943","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","21-Nov-2025","deevan singh","Payment Success","85671"
"6656","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2024-2025/177944","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","21-Nov-2025","deevan singh","Payment Success","85671"
"6657","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2024-2025/177943","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","12-Mar-2026","deevan singh","Payment Success","110381"
"6658","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2024-2025/177944","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","03-Jul-2025","deevan singh","Payment Success","333736"
"6659","Uttarakhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP204/2024-2025/177944","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","12-Mar-2026","deevan singh","Payment Success","16959"
"6660","Jharkhand","Development of public parks","WS/MP007/2025-2026/240578","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","08-Dec-2025","SAHIL KUMAR JE","Payment Success","517087"
"6661","Jharkhand","Providing drains and gutters for public drainage","WS/MP007/2025-2026/240579","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","08-Dec-2025","SAHIL KUMAR JE","Payment Success","640125"
"6662","Jharkhand","Providing drains and gutters for public drainage","WS/MP007/2025-2026/240580","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","08-Dec-2025","SAHIL KUMAR JE","Payment Success","693405"
"6663","Jharkhand","Construction of footpaths and pedestrian ways","WS/MP007/2025-2026/240581","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","08-Dec-2025","SAHIL KUMAR JE","Payment Success","556177"
"6664","Jharkhand","Construction of footpaths and pedestrian ways","WS/MP007/2025-2026/240581","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Smt. Mahua Maji (2022-28) (2022-2028)","Elected MP","09-Jul-2026","SAHIL KUMAR JE","Payment Success","185393"
