"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"2956","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18316/2025-2026/248636","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","25-Feb-2026","Sarpanch Gram Panchayat Chandwad","Payment Success","280000"
"2957","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18316/2025-2026/248636","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","23-Jun-2026","Sarpanch Gram Panchayat Chandwad","Payment Success","118849"
"2958","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248778","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","25-Feb-2026","ANJALI ENTERPRISES","Payment Success","218288"
"2959","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248778","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","12-Apr-2026","ANJALI ENTERPRISES","Payment Success","135688"
"2960","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248778","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","20-May-2026","ANJALI ENTERPRISES","Payment Success","136856"
"2961","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248779","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","25-Feb-2026","ANJALI ENTERPRISES","Payment Success","216819"
"2962","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248779","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","12-Apr-2026","ANJALI ENTERPRISES","Payment Success","135688"
"2963","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248779","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","20-May-2026","ANJALI ENTERPRISES","Payment Success","136856"
"2964","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248780","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","25-Feb-2026","ANJALI ENTERPRISES","Payment Success","215350"
"2965","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248780","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","12-Apr-2026","ANJALI ENTERPRISES","Payment Success","135688"
"2966","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248780","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","20-May-2026","ANJALI ENTERPRISES","Payment Success","136862"
"2967","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248781","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","25-Feb-2026","ANJALI ENTERPRISES","Payment Success","216819"
"2968","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248781","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","12-Apr-2026","ANJALI ENTERPRISES","Payment Success","135688"
"2969","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248781","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","20-May-2026","ANJALI ENTERPRISES","Payment Success","136862"
"2970","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248782","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","25-Feb-2026","ANJALI ENTERPRISES","Payment Success","218288"
"2971","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248782","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","12-Apr-2026","ANJALI ENTERPRISES","Payment Success","135688"
"2972","Uttar Pradesh","Installing community drinking water plants","WS/MP019/2025-2026/248782","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","20-May-2026","ANJALI ENTERPRISES","Payment Success","136862"
"2973","Uttar Pradesh","Purchase of mobile water tankers","WS/MP019/2025-2026/248783","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","26-Feb-2026","ANJALI ENTERPRISES","Payment Success","215350"
"2974","Uttar Pradesh","Purchase of mobile water tankers","WS/MP019/2025-2026/248783","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","12-Apr-2026","ANJALI ENTERPRISES","Payment Success","135688"
"2975","Uttar Pradesh","Purchase of mobile water tankers","WS/MP019/2025-2026/248783","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","20-May-2026","ANJALI ENTERPRISES","Payment Success","136862"
